	date	home	away	score	play_round	home_goals	away_goals	url	home_manager	away_manager	home_sheet	away_sheet
87	29/10/2017	 FC Utrecht 	 NAC Breda 	 2:2	10	2	2	http://www.worldfootball.net/report/eredivisie-2017-2018-fc-utrecht-nac-breda/	Erik ten Hag	Stijn Vreven	[David Jensen, Ramon Leeuwin, Willem Janssen, Sean Klaiber, Rico Strieder, Yassin Ayoub, Urby Emanuelson, Sander van de Streek, Gyrano Kerk, Zakaria Labyad, Cyriel Dessers]	[Nigel Bertrams, Fabian Sporkslede, Menno Koch, Karol Mets, Jos xe Angeli xf o, Arno Verschueren, Mounir el Allouchi, Rai Vloet, Manu Garc xeda, Giovanni Korte, Thierry Ambrose]
88	29/10/2017	 Sparta Rotterdam 	 FC Groningen 	 2:1	10	2	1	http://www.worldfootball.net/report/eredivisie-2017-2018-sparta-rotterdam-fc-groningen/	Alex Pastoor	Ernest Faber	[Roy Kortsmit, Michel Breuer, Sherel Floranus, Frederik Holst, Sander Fischer, Deroy Duarte, Stijn Spierings, Ryan Sanusi, Kenneth Dougall, Robert M xfchren, Loris Brogno]	[Sergio Padt, Todd Kane, Mike te Wierik, Samir Memi u evi u, Django Warmerdam, Juninho Bacuna, Ruben Jenssen, Ritsu Doan, Ludovit Reis, Uriel Antuna, Tom van Weert]
89	29/10/2017	 sc Heerenveen 	 AZ Alkmaar 	 1:2	10	1	2	http://www.worldfootball.net/report/eredivisie-2017-2018-sc-heerenveen-az-alkmaar/	Jurgen Streppel	John van den Brom	[Martin Hansen, Denzel Dumfries, Daniel H xf egh, Nicolai N xe ss, Kik Pierie, Stijn Schaars, Morten Thorsby, Martin xd degaard, Michel Vlap, Yuki Kobayashi, Reza Ghoochannejhad]	[Marco Bizot, Jonas Svensson, Thomas Ouwejan, Pantelis Hatzidiakos, Stijn Wuytens, Fredrik Midtsj xf, Teun Koopmeiners, Guus Til, Alireza Jahanbakhsh, Wout Weghorst, Jeremy Helmer]
90	03/11/2017	 Sparta Rotterdam 	 sc Heerenveen 	 0:0	11	0	0	http://www.worldfootball.net/report/eredivisie-2017-2018-sparta-rotterdam-sc-heerenveen/	Alex Pastoor	Jurgen Streppel	[Roy Kortsmit, Nicholas Marfelt, Frederik Holst, Sander Fischer, Michel Breuer, Deroy Duarte, Stijn Spierings, Ryan Sanusi, Kenneth Dougall, Robert M xfchren, Loris Brogno]	[Warner Hahn, Denzel Dumfries, Daniel H xf egh, Nicolai N xe ss, Kik Pierie, Stijn Schaars, Martin xd degaard, Michel Vlap, Yuki Kobayashi, Reza Ghoochannejhad, Nemanja Mihajlovi u]
91	04/11/2017	 AZ Alkmaar 	 Willem II 	 3:2	11	3	2	http://www.worldfootball.net/report/eredivisie-2017-2018-az-alkmaar-willem-ii/	John van den Brom	Erwin van de Looi	[Marco Bizot, Jonas Svensson, Thomas Ouwejan, Pantelis Hatzidiakos, Stijn Wuytens, Fredrik Midtsj xf, Teun Koopmeiners, Guus Til, Alireza Jahanbakhsh, Wout Weghorst, Jeremy Helmer]	[Mattijs Branderhorst, Freek Heerkens, Jordens Peters, Jop van der Linden, Kostas Tsimikas, Darryl Lachman, Pedro Chirivella, Thom Haye, Ben Rienstra, Etien Velikonja, Mo el Hankouri]
92	04/11/2017	 SBV Excelsior 	 Roda JC Kerkrade 	 1:0	11	1	0	http://www.worldfootball.net/report/eredivisie-2017-2018-sbv-excelsior-roda-jc-kerkrade/	Mitchell van der Gaag	Robert Molenaar	[, xd gmundur Kristinsson, Khalid Karami, Milan Massop, Jurgen Mattheij, Jordy de Wijs, Hicham Faik, Ryan Koolwijk, Ali Messaoud, Mike van Duinen, Luigi Bruins]	[xd gmundur Kristinsson, Khalid Karami, Milan Massop, Jurgen Mattheij, Jordy de Wijs, Hicham Faik, Ryan Koolwijk, Ali Messaoud, Mike van Duinen, Luigi Bruins, Zakaria el Azzouzi]
93	04/11/2017	 Heracles Almelo 	 FC Groningen 	 2:1	11	2	1	http://www.worldfootball.net/report/eredivisie-2017-2018-heracles-almelo-fc-groningen/	John Stegeman	Ernest Faber	[Bram Castro, Tim Breukers, Robin Pr xf pper, Dario Van Den Buijs, Jeff Hardeveld, Joey Pelupessy, Reuven Niemeijer, Jamiro Monteiro, Paul Gladon, Brandley Kuwas, Kristoffer Peterson]	[Sergio Padt, Mike te Wierik, Samir Memi u evi u, Django Warmerdam, Amir Absalem, Juninho Bacuna, Yo xebll van Nieff, Ritsu Doan, Ludovit Reis, Lars Veldwijk, Uriel Antuna]
94	04/11/2017	 VVV-Venlo 	 NAC Breda 	 0:0	11	0	0	http://www.worldfootball.net/report/eredivisie-2017-2018-vvv-venlo-nac-breda/	Maurice Steijn	Stijn Vreven	[Lars Unnerstall, Moreno Rutten, Jerold Promes, Roel Janssen, Nils R xf seler, Clint Leemans, Ralf Seuntjens, Kelechi Nwakali, Vito van Crooy, Lennart Thy, Torino Hunte]	[Mark Birighitti, Fabian Sporkslede, Karol Mets, Bart Meijers, Jos xe Angeli xf o, Arno Verschueren, Mounir el Allouchi, Rai Vloet, Manu Garc xeda, Giovanni Korte, Thomas Enevoldsen]
95	05/11/2017	 ADO Den Haag 	 Feyenoord 	 2:2	11	2	2	http://www.worldfootball.net/report/eredivisie-2017-2018-ado-den-haag-feyenoord/	Alfons Groenendijk	Giovanni van Bronckhorst	[Robert Zwinkels, Tyronne Ebuehi, Thomas Mei xdfner, Wilfried Kanon, Aaron Meijers, Lex Immers, Danny Bakker, Nasser el Khayati, Erik Falkenburg, Sheraldo Becker, Melvyn Lorenzen]	[Brad Jones, Bart Nieuwkoop, Jerry St Juste, Ridgeciano Haps, Renato Tapia, Karim El Ahmadi, Tonny Vilhena, Jens Toornstra, Nicolai J xf rgensen, Sam Larsson, Steven Berghuis]
96	05/11/2017	 AFC Ajax 	 FC Utrecht 	 1:2	11	1	2	http://www.worldfootball.net/report/eredivisie-2017-2018-afc-ajax-fc-utrecht/	Marcel Keizer	Erik ten Hag	[Andr xe Onana, Jo xebl Veltman, Matthijs de Ligt, Max W xf ber, Nick Viergever, Hakim Ziyech, Lasse Sch xf ne, Siem de Jong, David Neres, Amin Younes, Kasper Dolberg]	[David Jensen, Mark van der Maarel, Ramon Leeuwin, Willem Janssen, Sean Klaiber, Rico Strieder, Yassin Ayoub, Urby Emanuelson, Sander van de Streek, Gyrano Kerk, Zakaria Labyad]
97	05/11/2017	 Vitesse 	 PEC Zwolle 	 0:0	11	0	0	http://www.worldfootball.net/report/eredivisie-2017-2018-vitesse-pec-zwolle/	Henk Fraser	John van 't Schip	[Remko Pasveer, Fankaty Dabo, Matt Miazga, Alexander B xfcttner, Guram Kashia, Thomas Bruns, Thulani Serero, Navarone Foor, Milot Rashica, Tim Matav u e, Bryan Linssen]	[Diederik Boer, Bram van Polen, Dirk Marcellis, Philippe Sandler, Kingsley Ehizibue, Mustafa Saymak, Erik Israelsson, Rick Dekker, Ryan Thomas, Terell Ondaan, Younes Namli]
98	05/11/2017	 PSV Eindhoven 	 FC Twente 	 4:3	11	4	3	http://www.worldfootball.net/report/eredivisie-2017-2018-psv-eindhoven-fc-twente/	Phillip Cocu	Gertjan Verbeek	[Jeroen Zoet, Nicolas Isimat Mirin, Santiago Arias, Daniel Schwaab, Joshua Brenet, Gast xf n Pereiro, Jorrit Hendrix, Marco van Ginkel, Hirving Lozano, Steven Bergwijn, J xfcrgen Locadia]	[Jorn Brondeel, Hidde ter Avest, Thomas Lam, Stefan Thesker, Cristi xe n Cuevas, Peet Bijen, Michael Liendl, Fredrik Jensen, Tom Boere, Luciano Slagveer, Adnane Tighadouini]
