Unnamed: 0	index	date	home	away	score	round_text	play_round	score_45	score_90	score_105	score_120	aet	pso	home_goals	away_goals	season	url	home_manager	away_manager	home_sheet	away_sheet	msg
7	1	28/07/2010	Olympique Marseille	Paris Saint-Germain	\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t5:4	Final	1.0	0:0	0:0	NA	NA	False	True	\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t5	4	-2010/	no_url_exists	no_url_exists	no_url_exists	[no_url_exists]	[no_url_exists]	"[""could not convert rowinvalid literal for int() with base 10: '\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t5'""]"
8	1	25/07/2009	Girondins Bordeaux	EA Guingamp	\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t2:0	Final	1.0	\r \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t2:0	NA	NA	NA	False	False	\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t2	0	-2009/	no_url_exists	no_url_exists	no_url_exists	[no_url_exists]	[no_url_exists]	"[""could not convert rowinvalid literal for int() with base 10: '\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t2'""]"
9	1	02/08/2008	Girondins Bordeaux	Olympique Lyon	\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t5:4	Final	1.0	\r \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t5:4	NA	NA	NA	False	True	\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t5	4	-2008/	no_url_exists	no_url_exists	no_url_exists	[no_url_exists]	[no_url_exists]	"[""could not convert rowinvalid literal for int() with base 10: '\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t\\\\t5'""]"
