Unnamed: 0	index	date	home	away	score	round_text	play_round	score_45	score_90	score_105	score_120	aet	pso	home_goals	away_goals	season	url	home_manager	away_manager	home_sheet	away_sheet
0	1	12/08/2018	Eintracht Frankfurt	Bayern M\xfcnchen	-:-	Final	1.0	-:-	NA	NA	NA	False	False	-	-	-2018/	http://www.worldfootball.net/report/supercup-2018-finale-eintracht-frankfurt-bayern-muenchen/	Adi H\xfctter	Niko Kova\u010d	[]	[]
1	1	05/08/2017	Borussia Dortmund	Bayern M\xfcnchen	4:5	Final	1.0	1:1	2:2	2:2	NA	False	True	4	5	-2017/	http://www.worldfootball.net/report/supercup-2017-finale-borussia-dortmund-bayern-muenchen/	Peter Bosz	Carlo Ancelotti	[, Roman B xfcrki, Dan Axel Zagadou, Bartra, Sokratis Papastathopoulos, u ukasz Piszczek, Nuri u eahin, Mahmoud Dahoud, Gonzalo Castro, Ousmane Demb xe l xe, Pierre Emerick Aubameyang]	[Roman B xfcrki, Dan Axel Zagadou, Bartra, Sokratis Papastathopoulos, u ukasz Piszczek, Nuri u eahin, Mahmoud Dahoud, Gonzalo Castro, Ousmane Demb xe l xe, Pierre Emerick Aubameyang, Christian Pulisic]
2	1	14/08/2016	Borussia Dortmund	Bayern M\xfcnchen	0:2	Final	1.0	0:0	NA	NA	NA	False	False	0	2	-2016/	http://www.worldfootball.net/report/supercup-2016-finale-borussia-dortmund-bayern-muenchen/	Thomas Tuchel	Carlo Ancelotti	[Roman B xfcrki, Bartra, Sokratis Papastathopoulos, Marcel Schmelzer, Sebastian Rode, Shinji Kagawa, Gonzalo Castro, Felix Passlack, Ousmane Demb xe l xe, Pierre Emerick Aubameyang, Adri xe n Ramos]	[Manuel Neuer, Mats Hummels, Javi Mart xednez, Philipp Lahm, David Alaba, Thiago, Franck Rib xe ry, Xabi Alonso, Arturo Vidal, Robert Lewandowski, Thomas M xfcller]
3	1	01/08/2015	VfL Wolfsburg	Bayern M\xfcnchen	5:4	Final	1.0	0:0	1:1	1:1	NA	False	True	5	4	-2015/	http://www.worldfootball.net/report/supercup-2015-finale-vfl-wolfsburg-bayern-muenchen/	Dieter Hecking	Pep Guardiola	[, Koen Casteels, Timm Klose, Naldo, Ricardo Rodr xedguez, Daniel Caligiuri, Vieirinha, Ivan Peri u i u, Kevin De Bruyne, Josuha Guilavogui, Maximilian Arnold]	[Koen Casteels, Timm Klose, Naldo, Ricardo Rodr xedguez, Daniel Caligiuri, Vieirinha, Ivan Peri u i u, Kevin De Bruyne, Josuha Guilavogui, Maximilian Arnold, Bas Dost]
4	1	13/08/2014	Borussia Dortmund	Bayern M\xfcnchen	2:0	Final	1.0	1:0	NA	NA	NA	False	False	2	0	-2014/	http://www.worldfootball.net/report/supercup-2014-finale-borussia-dortmund-bayern-muenchen/	J\xfcrgen Klopp	Pep Guardiola	[Mitchell Langerak, Sokratis Papastathopoulos, u ukasz Piszczek, Matthias Ginter, Marcel Schmelzer, Sebastian Kehl, Jonas Hofmann, Henrikh Mkhitaryan, Oliver Kirch, Ciro Immobile, Pierre Emerick Aubameyang]	[Manuel Neuer, Javi Mart xednez, J xe r xf me Boateng, Juan Bernat, David Alaba, Xherdan Shaqiri, Gianluca Gaudino, Sebastian Rode, Pierre Emile H xf jbjerg, Robert Lewandowski, Thomas M xfcller]
5	1	27/07/2013	Borussia Dortmund	Bayern M\xfcnchen	4:2	Final	1.0	1:0	NA	NA	NA	False	False	4	2	-2013/	http://www.worldfootball.net/report/supercup-2013-finale-borussia-dortmund-bayern-muenchen/	J\xfcrgen Klopp	Pep Guardiola	[Roman Weidenfeller, Neven Suboti u, Mats Hummels, Marcel Schmelzer, Sven Bender, u lkay G xfcndo u fan, Jakub B u aszczykowski, Nuri u eahin, Kevin Gro xdfkreutz, Robert Lewandowski, Marco Reus]	[Tom Starke, Daniel Van Buyten, J xe r xf me Boateng, Philipp Lahm, David Alaba, Thiago, Xherdan Shaqiri, Toni Kroos, Mario Mand u euki u, Arjen Robben, Thomas M xfcller]
6	1	12/08/2012	Bayern M\xfcnchen	Borussia Dortmund	2:1	Final	1.0	2:0	NA	NA	NA	False	False	2	1	-2012/	http://www.worldfootball.net/report/supercup-2012-finale-bayern-muenchen-borussia-dortmund/	Jupp Heynckes	J\xfcrgen Klopp	[Manuel Neuer, Dante, J xe r xf me Boateng, Philipp Lahm, Franck Rib xe ry, Luiz Gustavo, Emre Can, Toni Kroos, Mario Mand u euki u, Arjen Robben, Thomas M xfcller]	[Roman Weidenfeller, Neven Suboti u, Mats Hummels, u ukasz Piszczek, Marcel Schmelzer, Moritz Leitner, u lkay G xfcndo u fan, Jakub B u aszczykowski, Kevin Gro xdfkreutz, Robert Lewandowski, Marco Reus]
7	1	23/07/2011	FC Schalke 04	Borussia Dortmund	4:3	Final	1.0	0:0	0:0	0:0	NA	False	True	4	3	-2011/	http://www.worldfootball.net/report/supercup-2011-finale-fc-schalke-04-borussia-dortmund/	Ralf Rangnick	J\xfcrgen Klopp	[, Ralf F xe hrmann, Benedikt H xf wedes, Kyriakos Papadopoulos, Christian Fuchs, Joel Matip, Lewis Holtby, Alexander Baumjohann, Marco H xf ger, Ra xfal, Klaas Jan Huntelaar]	[Ralf F xe hrmann, Benedikt H xf wedes, Kyriakos Papadopoulos, Christian Fuchs, Joel Matip, Lewis Holtby, Alexander Baumjohann, Marco H xf ger, Ra xfal, Klaas Jan Huntelaar, Julian Draxler]
8	1	07/08/2010	FC Schalke 04	Bayern M\xfcnchen	0:2	Final	1.0	0:0	NA	NA	NA	False	False	0	2	-2010/	http://www.worldfootball.net/report/supercup-2010-finale-fc-schalke-04-bayern-muenchen/	Felix Magath	Louis van Gaal	[Manuel Neuer, Benedikt H xf wedes, Lukas Schmitz, Christoph Metzelder, Atsuto Uchida, Joel Matip, Ivan Rakiti u, Peer Kluge, Ra xfal, Edu, Jefferson Farf xe n]	[Thomas Kraft, Mart xedn Demichelis, Philipp Lahm, Diego Contento, Holger Badstuber, Hamit Altintop, Danijel Pranji u, Bastian Schweinsteiger, Ivica Oli u, Miroslav Klose, Thomas M xfcller]
